Summary Statistics:
-----------------------------------------------------------------------------------------
Variable               | Min | Max | Mean |  SD  | Correl | Median | Mode | Missing
-----------------------------------------------------------------------------------------
population             | 0   | 1   | 0.06 | 0.13 | 0.37   | 0.02   | 0.01 | 0
householdsize          | 0   | 1   | 0.46 | 0.16 | -0.03  | 0.44   | 0.41 | 0
racepctblack           | 0   | 1   | 0.18 | 0.25 | 0.63   | 0.06   | 0.01 | 0
racePctWhite           | 0   | 1   | 0.75 | 0.24 | -0.68  | 0.85   | 0.98 | 0
racePctAsian           | 0   | 1   | 0.15 | 0.21 | 0.04   | 0.07   | 0.02 | 0
racePctHisp            | 0   | 1   | 0.14 | 0.23 | 0.29   | 0.04   | 0.01 | 0
agePct12t21            | 0   | 1   | 0.42 | 0.16 | 0.06   | 0.40   | 0.38 | 0
agePct12t29            | 0   | 1   | 0.49 | 0.14 | 0.15   | 0.48   | 0.49 | 0
agePct16t24            | 0   | 1   | 0.34 | 0.17 | 0.10   | 0.29   | 0.29 | 0
agePct65up             | 0   | 1   | 0.42 | 0.18 | 0.07   | 0.42   | 0.47 | 0
numbUrban              | 0   | 1   | 0.06 | 0.13 | 0.36   | 0.03   | 0    | 0
pctUrban               | 0   | 1   | 0.70 | 0.44 | 0.08   | 1.00   | 1    | 0
medIncome              | 0   | 1   | 0.36 | 0.21 | -0.42  | 0.32   | 0.23 | 0
pctWWage               | 0   | 1   | 0.56 | 0.18 | -0.31  | 0.56   | 0.58 | 0
pctWFarmSelf           | 0   | 1   | 0.29 | 0.20 | -0.15  | 0.23   | 0.16 | 0
pctWInvInc             | 0   | 1   | 0.50 | 0.18 | -0.58  | 0.48   | 0.41 | 0
pctWSocSec             | 0   | 1   | 0.47 | 0.17 | 0.12   | 0.475  | 0.56 | 0
pctWPubAsst            | 0   | 1   | 0.32 | 0.22 | 0.57   | 0.26   | 0.10 | 0
pctWRetire             | 0   | 1   | 0.48 | 0.17 | -0.10  | 0.47   | 0.44 | 0
medFamInc              | 0   | 1   | 0.38 | 0.20 | -0.44  | 0.33   | 0.25 | 0
perCapInc              | 0   | 1   | 0.35 | 0.19 | -0.35  | 0.30   | 0.23 | 0
whitePerCap            | 0   | 1   | 0.37 | 0.19 | -0.21  | 0.32   | 0.30 | 0
blackPerCap            | 0   | 1   | 0.29 | 0.17 | -0.28  | 0.25   | 0.18 | 0
indianPerCap           | 0   | 1   | 0.20 | 0.16 | -0.09  | 0.17   | 0    | 0
AsianPerCap            | 0   | 1   | 0.32 | 0.20 | -0.16  | 0.28   | 0.18 | 0
OtherPerCap            | 0   | 1   | 0.28 | 0.19 | -0.13  | 0.25   | 0    | 1
HispPerCap             | 0   | 1   | 0.39 | 0.18 | -0.24  | 0.345  | 0.30 | 0
NumUnderPov            | 0   | 1   | 0.06 | 0.13 | 0.45   | 0.02   | 0.01 | 0
PctPopUnderPov         | 0   | 1   | 0.30 | 0.23 | 0.52   | 0.25   | 0.08 | 0
PctLess9thGrade        | 0   | 1   | 0.32 | 0.21 | 0.41   | 0.27   | 0.19 | 0
PctNotHSGrad           | 0   | 1   | 0.38 | 0.20 | 0.48   | 0.36   | 0.39 | 0
PctBSorMore            | 0   | 1   | 0.36 | 0.21 | -0.31  | 0.31   | 0.18 | 0
PctUnemployed          | 0   | 1   | 0.36 | 0.20 | 0.50   | 0.32   | 0.24 | 0
PctEmploy              | 0   | 1   | 0.50 | 0.17 | -0.33  | 0.51   | 0.56 | 0
PctEmplManu            | 0   | 1   | 0.40 | 0.20 | -0.04  | 0.37   | 0.26 | 0
PctEmplProfServ        | 0   | 1   | 0.44 | 0.18 | -0.07  | 0.41   | 0.36 | 0
PctOccupManu           | 0   | 1   | 0.39 | 0.20 | 0.30   | 0.37   | 0.32 | 0
PctOccupMgmtProf       | 0   | 1   | 0.44 | 0.19 | -0.34  | 0.40   | 0.36 | 0
MalePctDivorce         | 0   | 1   | 0.46 | 0.18 | 0.53   | 0.47   | 0.56 | 0
MalePctNevMarr         | 0   | 1   | 0.43 | 0.18 | 0.30   | 0.40   | 0.38 | 0
FemalePctDiv           | 0   | 1   | 0.49 | 0.18 | 0.56   | 0.50   | 0.54 | 0
TotalPctDiv            | 0   | 1   | 0.49 | 0.18 | 0.55   | 0.50   | 0.57 | 0
PersPerFam             | 0   | 1   | 0.49 | 0.15 | 0.14   | 0.47   | 0.44 | 0
PctFam2Par             | 0   | 1   | 0.61 | 0.20 | -0.71  | 0.63   | 0.70 | 0
PctKids2Par            | 0   | 1   | 0.62 | 0.21 | -0.74  | 0.64   | 0.72 | 0
PctYoungKids2Par       | 0   | 1   | 0.66 | 0.22 | -0.67  | 0.0.75 | 0	  | 0	
PctTeen2Par            | 0   | 1   | 0.57 | 0.20 | -0.75  | 0.59   | 0.65 | 0
PctWorkMomYoungKids    | 0   | 1   | 0.47 | 0.20 | 0.34   | 0.45   | 0.36 | 0
PctWorkMom             | 0   | 1   | 0.53 | 0.18 | 0.25   | 0.52   | 0.45 | 0
NumIlleg               | 0   | 1   | 0.06 | 0.13 | 0.51   | 0.03   | 0.02 | 0
PctIlleg               | 0   | 1   | 0.36 | 0.22 | 0.64   | 0.32   | 0.14 | 0
NumImmig               | 0   | 1   | 0.06 | 0.13 | 0.46   | 0.02   | 0.01 | 0
PctImmigRecent         | 0   | 1   | 0.28 | 0.23 | 0.23   | 0.23   | 0.05 | 0
PctImmigRec5           | 0   | 1   | 0.31 | 0.23 | 0.31   | 0.27   | 0.10 | 0
PctImmigRec8           | 0   | 1   | 0.33 | 0.24 | 0.30   | 0.29   | 0.11 | 0
PctImmigRec10          | 0   | 1   | 0.34 | 0.23 | 0.29   | 0.31   | 0.11 | 0
PctRecentImmig         | 0   | 1   | 0.27 | 0.22 | 0.27   | 0.22   | 0.10 | 0
PctRecImmig5           | 0   | 1   | 0.30 | 0.23 | 0.30   | 0.26   | 0.09 | 0
PctRecImmig8           | 0   | 1   | 0.32 | 0.23 | 0.28   | 0.28   | 0.10 | 0
PctRecImmig10          | 0   | 1   | 0.33 | 0.22 | 0.28   | 0.29   | 0.10 | 0
PctSpeakEnglOnly       | 0   | 1   | 0.36 | 0.23 | 0.42   | 0.35   | 0.47 | 0
PctNotSpeakEnglWell    | 0   | 1   | 0.29 | 0.24 | 0.64   | 0.27   | 0.11 | 0
PctLargHouseFam        | 0   | 1   | 0.47 | 0.19 | -0.30  | 0.44   | 0.40 | 0
PctLargHouseOccup      | 0   | 1   | 0.41 | 0.20 | -0.17  | 0.38   | 0.30 | 0
PersPerOccupHous       | 0   | 1   | 0.41 | 0.18 | 0.07   | 0.37   | 0.34 | 0
PersPerOwnOccHous      | 0   | 1   | 0.49 | 0.17 | 0.11   | 0.47   | 0.44 | 0
PersPerRentOccHous     | 0   | 1   | 0.36 | 0.20 | -0.13  | 0.33   | 0.31 | 0
PctPersOwnOccup        | 0   | 1   | 0.40 | 0.20 | -0.27  | 0.36   | 0.25 | 0
PctPersDenseHous       | 0   | 1   | 0.29 | 0.20 | 0.34   | 0.24   | 0.17 | 0
PctHousOccupOwn        | 0   | 1   | 0.49 | 0.20 | -0.39  | 0.47   | 0.59 | 0
PctHousOccupRent       | 0   | 1   | 0.48 | 0.20 | 0.34   | 0.47   | 0.52 | 0
PctVacantBoarded       | 0   | 1   | 0.29 | 0.22 | 0.34   | 0.23   | 0.11 | 0
PctVacMore6Mos         | 0   | 1   | 0.35 | 0.22 | 0.30   | 0.32   | 0.21 | 0
MedianHousValue        | 0   | 1   | 0.38 | 0.19 | -0.30  | 0.33   | 0.23 | 0
MedianGrossRent        | 0   | 1   | 0.43 | 0.20 | -0.28  | 0.37   | 0.35 | 0
MedRentPctHousInc      | 0   | 1   | 0.34 | 0.23 | 0.30   | 0.27   | 0.23 | 0
MedOwnCostPctInc       | 0   | 1   | 0.35 | 0.22 | 0.20   | 0.27   | 0.20 | 0
MedOwnCostPctIncNoMtg  | 0   | 1   | 0.24 | 0.20 | 0.18   | 0.22   | 0.13 | 0
NumInShelters          | 0   | 1   | 0.05 | 0.13 | 0.30   | 0.01   | 0    | 0
NumStreet              | 0   | 1   | 0.06 | 0.13 | 0.31   | 0.02   | 0.01 | 0
